0,NGEN,a,Bollywood film dekhne ke samay logic ghar mein chorke ana parta hain. Please logic mat ghusao
1,NGEN,a,Chutiya movie...
2,NGEN,a,Us jaat bnde ka khene ka matlab tha mar daluga use but gand fat gyi camera dekh ke chutiya sala shkl se hi frustrated lag rha hai for sure ye bnda andar hi andar gay hoga but iski andar ita dum nahi hoga ki confess kre tabhi sala age bhi apne bacho mai khaouf fila rha hai ..chutiya kahinka
3,NGEN,a,@Feminism Is CANCER *un feminist yeh sahi hai but iska matlab ye thodi na hai ki saare women ko gaali de agar ek insaan ne rape kiya to uske wajh se hume v rapist sunna parega kya?
4,NGEN,a,Amrit Anand अब तो जुड़े ही है उनको बोलो जुड़ने
5,NGEN,a,@Pankaj Chauhan abey tum jse aadmiyo ko ye lgta hai to yhi shi.. Wse tumhare liye jaruri bhi hai..
6,NGEN,a,Kasturi is a jaahil
7,NGEN,a,"isliya jat jhant hota hai....""main jat hu"".....use ye nehi pata Baki duniya use jat nehi jhant bolte hai"
8,GEN,a,Lit sir🔥bhenco desh bhakti mai bhi item song pelenge 🤣😂
9,GEN,a,"आर्मी में हमे मर्द चाहिए,हिजड़े नही ।"
10,NGEN,a,bro house of card ka review karona
11,NGEN,a,@Sucharita Tyagi chal jhutiiiii 😆😆
12,NGEN,a,Sahi bola bhai 🙌🙌gg
13,NGEN,a,Hello Mai ek human adviser hu Mai shwetabh gangwar sir bohot kuch shika hu..but shwetabh sir har ek boy ya girl ke liye video to nhi bana sakhenge to agar AP ko love break-up addition ect problem h to no-6200845455 contact me 10am to 8pm
14,NGEN,a,"Bhai, Apka Video Ka FPS 30 Hai... Good.. Keep It Up..."
15,NGEN,a,"""Liberal bhi hai, Tolerant bhi hai!!!"" LoL"
16,NGEN,a,"यह एक संवेदनशील,कठोर,सनक, बेपरवाह, दर्द देने वाला,प्रेम कहानी है"
17,NGEN,a,Prateek bhai dho dala....sachhi .....bht hi shaleenta se ...aur bht hi logical hote hue apne answer diya h...... Feminists jo bhartiya Sanskriti per sawal uthate h..... they must have to understand....BHARAT me Maa Durga ka place sabse ucha dikhaya h ......ager ye samjh skte to😊
18,NGEN,a,"Indian soldier pakistani soldier ki gand ""marne"" wala chahiye ,nahi ki gand ""marvane"" wala"
19,NGEN,a,vai empress ki korian drama review koro
20,NGEN,a,@execute sahi kaha bhai😅
21,NGEN,a,"Is sarkaar pe ab kisi ko bharosa nahi , jis 1 saal ki bachi ko uske maa baap se alag kar diya modi aur amit shah ne uska kya ? Arundhati is right"
22,NGEN,a,10/10 ......ohhh...ab to dekhna padega bhai
23,NGEN,a,Kya yaar review krne se phle likh lo thoda padh lo fir kro. Do minute aur de deta to ye Pura kahani bta deta... This is not a review👎
24,NGEN,a,Negative positive दोनों h sir 😊 negative ye h ki ham kisi ko uske gender s judge ni kar sakte uske andar अपने देश के लिए देशभक्ति h tabhi vo army join karega. Positive ye h ki bipin रावत का कहना सही h ki army m gays r not allowed उनके army के acts जो कहते h 45 nd 46a.....
25,NGEN,a,yeh hua sahi insaaf in jise b*%$# aurato ko yeh saza milne chaihye
26,NGEN,a,Toh kya ladkiyan bhi nahi honi chahiye
27,GEN,a,Ye chutiya ladki kon h be ... ... kuch v baak dethi h ......... noob girl ... 😂😂🤣🤣 ..
28,NGEN,a,Netflix bhi faltu chiz mai Masters kara rakha hai.
29,NGEN,a,Ky sahi bolne se maan liya jaye ga....
30,NGEN,a,Mujhe taras aata taaliya bajane wale chutio pe...
31,NGEN,a,"Ye aagar congress raj me hota aur bjp ka koi neta ye ragga billa ki line bolata toh ye rajdeep ussee constitution , democracy, falana falana gyaan deke usse kosate Par abhi ulta hai....bjp raaj hai and khangress ,communist favour ki writer ye bol rahi hai toh ab rajdeep ko saap sung gaya...ab lighter mode pai hai Issee kehete hai HYPORACY"
32,NGEN,a,Mai left se ek hi kaam karta hu Pichwada dhone ka 🤣😂😂😂
33,NGEN,a,धन्यवाद दीपिका भारद्वाज ।आप सही कह रहीं हैं ।
34,NGEN,a,Bolte aap mst h n realistic
35,NGEN,a,"**Shwetabh bhaiya, ye galat baat galat hai aap ek dum se bahaut saari videos daalte hoo phir ek dum gayab!! Isse accha ek hafte/10 din mein ek video daalo!!**"
36,NGEN,a,Jal gayi yrr teri to
37,NGEN,a,@Prabhat kumar ab tu choosega na. Tab saaf hojayega
38,NGEN,a,The darknight ka review kariye please
39,GEN,a,@KHAN SHAHAB abey jhaatu overseas ki baat mat kar jyaada.....foreign countries me tum logo ko airport pe nanga karwaate hai hahahahahahhah😂😂😂😂😂😂😂😂......pehle to visa hi nahi milta
40,NGEN,a,Roz ki apeksha aaj ka view Acha hai
41,NGEN,a,Kaunsa jaga h adress do
42,NGEN,a,Menay bi yahi kiya .... Abb meri zindgi ky waqai may hi lag gy..😂😂😂
43,NGEN,a,Sach kadwa hota hai iska example aap video k dislike dekh ke pata laga sakte hai
44,GEN,a,Abe bc ye kis angle se movie review that Bhai yrr hard hoti h bc maana tumne baat said kahi lekin ispe tujhe ek alag video banani chahiye this tune title daala h Kabir Singh review or bc baat kuch or hi Kar raha h bc
45,GEN,a,Army me haame jabardast jawanoo ki jarurt he taaki haam desh ko sheroo ki faujj de hizzdo ki Sena nahi chahiye
46,GEN,a,"Bhai I just hope that jab aapki beti college ke pehle din entrance exam me rank laake admission le tab koi chutiya bewdaa class me jaake ye na bole ki wo meri property hai,sab durr rehna usse."
47,NGEN,a,Bhai kya baat hai back to back videos...... AUR KAISA HAI LAUNDE
